,abb,name,lat,long,coal,oil,gas,nuclear,hydro,bio,wind,solar,geo,other
974,CA,Foundation RRM,33.917222,-116.815,0,0,0,0,0,0,9589,0,0,0
975,CA,Foundation SaIinas Valley State Prison,36.474,-121.371,0,0,0,0,0,0,767,0,0,0
976,CA,Foundation Scheid Vineyards,36.274508,-121.191589,0,0,0,0,0,0,3812,0,0,0
977,CA,Foundation ST,37.714167,-121.521666,0,0,0,0,0,0,2662,0,0,0
978,CA,Foundation Superior Farms,38.42,-121.818056,0,0,0,0,0,0,1592,0,0,0
979,CA,Foundation Wal-Mart Red Bluff,40.111111,-122.193889,0,0,0,0,0,0,1638,0,0,0
980,CA,Four Mile Hill,41.6014,-121.625,,,,,,,,,,
981,CA,FPL Energy Montezuma Winds LLC,38.163581,-121.79661,0,0,0,0,0,0,98264,0,0,0
982,CA,Francisco St. Solar,33.8482,-118.3055,0,0,0,0,0,0,0,62,0,0
983,CA,Frankenheimer Power Plant,37.830378,-120.806972,0,0,0,0,11587,0,0,0,0,0
984,CA,Franklin (CA),34.103931,-118.413377,0,0,0,0,-11,0,0,0,0,0
985,CA,Franklin Templeton San Mateo,37.5425,-122.292778,0,0,7098,0,0,0,0,0,0,0
986,CA,Freeway Springs,33.892614,-118.037564,0,0,0,0,0,0,0,3381,0,0
987,CA,French Meadows,39.077971,-120.406069,0,0,0,0,38058,0,0,0,0,0
988,CA,"Fresno Cogeneration Partners, LP",36.617022,-120.099846,0,0,5887,0,0,0,0,0,0,0
989,CA,Fresno Solar,36.616846,-120.105144,0,0,0,0,0,0,0,6226,0,0
990,CA,Friant Hydro Facility,36.997694,-119.703451,0,0,0,0,125902,0,0,0,0,0
991,CA,Frito-Lay Cogen Plant,35.395063,-119.321633,0,0,26593,0,0,0,0,0,0,0
992,CA,Frontier HS Solar Project,35.41824,-119.14888,0,0,0,0,0,0,0,70,0,0
993,CA,Frontier Solar LLC,37.379919,-121.130661,0,0,0,0,0,0,0,53191,0,0
994,CA,FRV SI Transport Solar LP,38.4869,-121.3911,0,0,0,0,0,0,0,1625,0,0
995,CA,Fullerton Mill CHP,33.861667,-117.893056,0,0,75513,0,0,0,0,0,0,0
996,CA,G2 Energy Hay Rd,38.314722,-121.833611,0,0,0,0,0,12912,0,0,0,0
997,CA,G2 Energy Ostrom Road LLC,39.0728,-121.3992,0,0,0,0,0,26889,0,0,0,0
998,CA,Gap Pacific Distribution Center,36.7839,-119.7094,0,0,0,0,0,0,0,1906,0,0
999,CA,Garnet Solar Generation Station I LLC,33.8906,-116.5431,0,0,0,0,0,0,0,8410,0,0
1000,CA,Garnet Wind Energy Center,33.9053,-116.5825,0,0,0,0,0,0,15862,0,0,0
1001,CA,Gas Utilization Facility,32.679172,-117.246698,0,0,0,0,0,16293.1,0,0,0,0
1002,CA,Gates Peaker,36.152715,-120.148245,,,,,,,,,,
1003,CA,Gates Solar Station,36.176389,-120.114167,0,0,0,0,0,0,0,43311,0,0
1004,CA,Gateway Generating Station,38.0175,-121.7587,0,0,2929751,0,0,0,0,0,0,0
1005,CA,Gavilan District College Solar Project,37.003832,-121.593567,0,0,0,0,0,0,0,350,0,0
1006,CA,Gaviota Oil Plant,34.475067,-120.205107,0,0,0,0,0,0,0,0,0,0
1007,CA,GE - Tehachapi,35.155278,-118.369444,0,0,0,0,0,0,3879,0,0,0
1008,CA,Genentech Vacaville Meter #1,38.390756,-121.94777,0,0,0,0,0,0,0,13088,0,0
1009,CA,Genentech-Oceanside,33.211095,-117.299593,0,0,0,0,0,0,0,7149,0,0
1010,CA,Genesis Solar Energy Project,33.665,-114.998055,0,0,0,0,0,0,0,623142,0,0
1011,CA,Geo East Mesa II,32.7757,-115.2637,0,0,0,0,0,0,0,0,0,0
1012,CA,Geo East Mesa III,32.7757,-115.2637,0,0,0,0,0,0,0,0,97553,0
1013,CA,Geothermal 1,38.752,-122.7195,0,0,0,0,0,0,0,0,433936,0
1014,CA,Geothermal 2,38.7492,-122.7117,0,0,0,0,0,0,0,0,352294,0
1015,CA,Geysers Unit 5-20,38.777,-122.745,0,0,0,0,0,0,0,0,4674308,0
1016,CA,Gianera,37.401,-121.96867,0,0,8019,0,0,0,0,0,0,0
1017,CA,Giffen,36.530278,-120.316111,0,0,0,0,0,0,0,18948,0,0
1018,CA,Giffen Solar Park,36.544722,-120.316111,0,0,0,0,0,0,0,36960,0,0
1019,CA,"Gilroy Energy Center, LLC",36.999,-121.5363,0,0,25659,0,0,0,0,0,0,0
1020,CA,Glenarm,34.126,-118.1494,0,0,107233.32,0,0,0,0,0,0,0
1021,CA,Glendale Battery Energy Storage System,34.162327,-118.283684,0,0,0,0,0,0,0,0,0,90
1022,CA,Goal Line,33.1185,-117.0995,0,0,18142,0,0,0,0,0,0,0
1023,CA,Golden Acorn Casino,32.702107,-116.354587,0,0,0,0,0,0,4112,0,0,0
1024,CA,"Golden Fields Solar I, LLC",34.839012,-118.386843,0,0,0,0,0,0,0,152651,0,0
1025,CA,Golden Hills North Wind Energy Center,37.769189,-121.630163,0,0,0,0,0,0,181456,0,0,0
1026,CA,Golden Hills Wind,37.713311,-121.640353,0,0,0,0,0,0,306466,0,0,0
1027,CA,Golden Springs Building C-1,33.914167,-118.053611,0,0,0,0,0,0,0,1796,0,0
1028,CA,Golden Springs Building D,33.911944,-118.052222,0,0,0,0,0,0,0,1938,0,0
1029,CA,Goose Haven Energy Center,38.226752,-121.843271,0,0,12447,0,0,0,0,0,0,0
1030,CA,Gosselin Hydro Plant,40.37,-123.4347,0,0,0,0,4557,0,0,0,0,0
1031,CA,GPS Cabazon Wind LLC,33.914986,-116.71026,0,0,0,0,0,0,63695,0,0,0
1032,CA,Granger,33.2704,-117.0588,0,0,0,0,0,0,0,7748,0,0
